fra	nnb
Un virus a infecté l'ordinateur de Mathéo.	Ekirusi mokika tsandaya ekisengula kya Mathayo.
Comment se fait-il que vous les ayez vus en train de le faire ?	Mulhyalangiravo muthi vakakolekyo?
Je n'étais pas sûr, si je devais avancer ou me retirer.	Sinyilwe nyilhighire nanga lolhirembere kutse inalwaho.
Notre association est fière de compter cinq cents adhérents.	Ekithongolhe kyethu kitsemire erivya navandu maghana thanu awavandu avahyavahya.
Toute une ribambelle de gamins se tenaient là.	Eringumba ryosi eryavalwana vavya ivaneho.
Une bonne théorie se caractérise par le fait de faire une série de prédictions qui, en principe, pourraient être réfutées ou mises en défaut par l'observation.	Enzira eyuwene yikayiminyisaya omo vuminyereri, ovo vyanga suvulhivwa kutse ivyalhevivwa.
Est-ce que la puce est un insecte ?	Ekichoko ninakihuka?
Faites jouer du canon à l'approche de l'ennemi.	Kumbe iwa kolhesya embundu omughulu enzighu yamahika.
Il a étudié l'économie à la fac.	Mwayasoma akovuthunde.
Devine combien j'ai d'employés.	Minya nganyiwithe avakolhivangahi.
Ses quelques tantes prennent très bien soin de lui.	Avoso muhalhi view vakalhenge rimusugha.
Je pense qu'il est hautement improbable que nous serons en mesure de nous échapper de cette prison.	Ngalhengekanaya ngoko sivyangathokekana irivya ithwangana yusula omo kathwiko.
Je pensais aller à ce nouveau lieu sur la rue Park.	Ndyalhengekania nyithimbino ngandiya ahahya okonguda eye park.
J'ai vraiment trop la flemme d'aller bosser.	Nyirinaka ruhuruhu akeriyerya avino.
Tu fais trop de bruit ! Chut !	Ukakendereya kutsibu! Chut !
Ne vous inquiétez pas.	Simubaghe.
Elle a attendu, attendu, mais il n'est jamais revenu.	Mwalhinda, amachinda angulhe mwathasa.
Le coffre est lourd. Je ne peux pas le porter.	Ekiheke kikirithohire. Sinangahekakyo.
Les forces de Pershing ne furent pas directement envoyées au combat.	Akaghala ake pershing movathalakala thumwa akomalwa.
Je ne savais pas que les bébés pouvaient avoir des opinions politiques.	Sinavya nyasi ngoko avana vanganavya namalhengekania aweki polhithika.
Tu veux que je te ramène quelque chose?	Ukariza nyikulhethere kindu?
Je n'ai pas l'intention de divorcer d'avec toi à moins que tu ne me donnes une raison valable.	Singwithe maha werilhekana naghu ghuthalhyamba ovulhengekania ovushikire.
Je suis allé me coucher après avoir tout préparé à l'avance.	Enyuma syerithekerania evyosi, monayayatho.
Ne vous faites pas de soucis, on peut compter sur lui.	Sighuhangahangaye, thwanganayiketheraye.
Je verrai ce que je peux faire, mais je ne vous promets rien.	Ngandolhevya ekyonangakola, alhiwe sinyitha kulanginira kindu.
Un étudiant a été écrasé par une voiture sur Basin street.	Omwigha mwaka pondawa ne nguruvani oko Bassin Street.
Il ne fallait pas t'inquiéter autant pour elle.	Siwanga hangahangaye kungaho vusana naye.
Nous ne parlons que de faits.	Thukavugha ko myatsi.
Le mien est meilleur que le tien.	Ekyaghekyowene okokyaghu.
Tous les soldats étaient debout côte à côte.	Avalhasi vosi vavya va hangene.
Avez-vous tenté de redémarrer l'ordinateur ?	Wanalhengire erisyakya ekisengula ?
Je suis enchanté de te rencontrer.	Namatsema ngakusunga.
Combien de gosses avez-vous ?	Uwithe valwana vangahi?
Nommer un objet, c'est supprimer les trois quarts de la jouissance du poème qui est faite du bonheur de deviner peu à peu ; le suggérer, voilà le rêve.	Erisha ekindukyerina niheghula evitsme visathu okombili eryovusi ovo lwimbo olwakolawa novutseme erivya hake hake, ngasava, esyonzochisyesyo.
Je vous assure que je peux faire ça.	,gakuvwira ngoko nananakoleki.
Je t'en supplie. Je ferai tout ce que tu veux !	Ngakulemba lhemba. ngandikola ekyosi ekyowanzire!
Que dites-vous de payer une tournée à tout le monde ?	Wamavugha ghuthiki eri erichitira ovulimundu ye thimbo thimbo?
Nos anciens ont dit: Si une discussion est brève, elle sert; si elle dure, elle dégénère.	Avasyakulu vethu vakavugha vathi: ovuhata vwamavya vuke.
Concernant ceci, je suis responsable.	Evireviryekyo, viryoko muthwe waghe.
Je sais que certains en prennent ombrage, mais c'est plus fort que moi, il faut que je vérifie toutes les phrases.	Nyinasi ngoko avaghuma vaghuma vakinaya evithuthu, alhiwe nikutsivu okwinze, kumbe inalhavya emilondo yoshi.
Le directeur de l'école veut fermer la cantine et créer une nouvelle salle récréative pour les élèves.	Omukulu owekiyiro asondire inyakinga ekisenge ekyeriramo, athi aka kingulamo kithatha kiamasatha.
Je suis désolée de vous déranger.	Namasweka eriya inamava kenderya.
Vous savez bien que l'Autriche n'a pas de bord de mer.	Munashindeve ngoko e Autriche siyiwithe omukekethyo gholusi.
Es-tu sûre que tu n'es pas fatiguée ?	Unalwiriwaminya ngoko sighuluhire?
Dégagez de mon lit !	Mulwe omwiseso yakghe!
N'ayez pas peur du changement.	Simuvahe amavunduchikania.
Je suis la preuve vivante que la mort peut être surmontée.	Ngandivya muchevya oyulhiho oyoluholo lwangana lavako.
Je veux poursuivre mon travail jusqu'à son succès final.	Ngandikwamirira omuviri waghe erihika oko ndulhya.
Sacrée voiture !	Nguruvani ivuyirire!
Contente-toi de lui dire ce que tu ressens.	Muvwire evyo ghuwitheko.
Un vent fort a rompu les câbles électriques dans plusieurs endroits.	Ekighuma kinji mokikatwa esyoshinga esyamasenyerezi omo vithatha vingi.
Ce ballon est le trésor de ce garçon.	Akaghulhughulhwaka nivutheke vomulwanoyu.
J'écris à présent une lettre à Gabriel.	Ngasakira hathya enzakanyeyi yo ngabulhieri.
À quoi sert, après tout, de laisser des traces ? Les dinosaures sont-ils plus heureux parce que nous retrouvons leurs fossiles ?	Erisigha eviminyikalo vyenyuma, kikawathikaya okoki?  Esyodubu sitsemire vusana thukasunga amakuhashyo?
Une période de sécheresse explique la maigre récolte.	Omughulhu oweryuva akaminyisaya amahulule make musuyeka.
Rentrez à la maison.	Mwakanzilitha omomathako!
Elle m'a empoigné les fesses !	Mwanyi hunzire oko matako.
Le lendemain, il se réveilla tard.	Aka vuka ndangaliri.
L'avenir, fantôme aux mains vides, qui promet tout et qui n'a rien !	Enzyakya, eyamulhimu, omovyala visa, oyukalaghanira evyosi kandi isya with kindu!
Je veux que tu regardes bien autour.	Nganza ulhevaye ndeke endambisyaghu.
Il est monté à bord de l'avion.	Mwakasambira omorisu.
Cela importe peu qu'il vienne tard ou non.	Angasa luva kutse ndangalhiri ekyo ni kyoko vikevike.
Je ne veux pas que tu aies une fausse impression.	Siyanzire ukavya na malhengekania mavi.
La jument alezane qui caracolait, hennit en essayant de se débarrasser de son cavalier.	Akapunda kakalhenryeryama kakalhenga eriyihako oyukakaghendeya.
Enlève ton chapeau !	lusaya embitha yaghu!
Hier au soir, j'ai terminé de lire le roman « La Montagne magique ».	Mulhigholo, munavughire erisoma ekithavu “ekithavu kyekithikothiko”.
Je pense que c'est fantastique.	Ngalhengekanaya ngo kyowene.
Je te fais un chèque et tu quittes le pays.	Ngakuha ekiratasi naghukalwa omokighugho.
Vous ne m'entendez pas me plaindre, n'est-ce pas ?	Sighuthowa ngayikuna, kovithevithyua?
L’usage hésite clairement sur le genre du mot Wi-Fi. Une recherche avec Google montre un ratio d’usage d’environ 71 % pour le masculin et de 29 % pour le féminin. Alors, pourquoi ne pas utiliser tout simplement le réseau sans fil ?	Halhi erighomererya ekinywa WI-fi- omusondyo ne goggle akakangaya ekinimba ekikakolhesivawa hakuhi pourcenti makumi rinda nekighuma ekovulwana va makumiaviri no mwenda okovukalhi. nikwa vusanaki sivangakolhesya erighunga erithe ko miriki?
Était-ce toi qui as laissé la porte ouverte la nuit passée ?	Etait iwawashigha olevyi ilunarnangire omokiro ekyalava?
Nous pourrions passer la soirée ensemble.	Twanganavya haghuma omwighologholo.
Je contrôle mes pensées dans la direction que je choisis.	Ngasondola amalhengekania waghe ghomo luhande olonyirya sombola.
Avons-nous le droit de nous taire face une telle situation ?	Thunawithe embangwa eyerihema omokika ekiringekyo?
Ils vont très certainement me manquer.	Vakandimbula.
Mon père a une ferme et il élève des bœufs et des chevaux.	Thathawaghe anawithe kivungo nanathungiremo esyonde nesyo mbene.
Il est encore ici, si vous voulez profiter de le voir.	Akine hano wamavwinasondire erimulolako.
Ce billet de transport est-il valide dans ce bus ?	Ekivave kono kikinakola omo nguruvanieyi.
Un examen plus attentif montre que le crâne a été défoncé par un coup violent.	Amakangiria awakalhire akakanganaya ngoko obongo bwabiri kakulwa.
Il appelait sa sœur.	Mwabirikira mwali.
Nous sommes ici-bas pour rire. Nous ne le pourrons plus au purgatoire ou en enfer. Et, au paradis, ce ne serait pas convenable.	Thulhihanisi okwiseka. Sithwangathokakyo omoluvikulo.  kutse omoluvanza nomoluvula, sivyangatokekana.
Tu es en état d'arrestation !	Uliri ahambwa!
Nous interrompons cette émission pour une communication urgente.	Thukathwa ekihindyekyo vusana nomulaghe waluvaluva.
""" Son simulacre à peine est placé parmi nous, / que dans ses yeux pétille une flamme brillante ; / de tout son corps dégoute une sueur sanglante ; / et, secouant sa lance et son noir bouclier, / trois fois elle bondit sous son casque guerrier. """	"“Ekisosekanio kiwe kine omokathi kethu, komomeso wiwe mulhi kirimi ekikangavasenie, okomuviri wiwe ghosi kukalwa olunza olomusasi, na akatsingya erithumo riwe haghuma nengavoyiwe eyekirima, kasathu amanega inyanambithe  ekikeke kiwe ekyamalwa. """
La Bible nous enseigne à aimer nos prochains et aussi nos ennemis, probablement parce qu'en règle générale, il s'agit des mêmes personnes.	Ebibilhia yikathughalhima eryanza avahimbani vethu haghuma nesyonzighu syethu, vusana ni vandu vaghumerera.
Elle parlait d'une voix douce.	Akavugha omomulhenge muke.
Il est directeur et devrait être traité comme tel.	Nimusondolhya na anga wathwandeke.
Arthur sauta le dîner en disant qu'il était trop fatigué pour manger.	Arthure mwasoka akalhyo akavughuthi amaluha okwirya.
Montez dans le bus !	Sambira omo bishi!
J'ai le sentiment que vous ne voulez pas vraiment que je l'emporte.	Namalangira ngoko smwanzire nahekakyo.
Vous ne devriez pas rompre votre promesse.	Siwanga thwire endaghane yaghu.
Aussi longtemps que vous garderez le silence, vous pourrez rester dans cette salle.	Okolulhengo ghukandivya vukuthu, owananasighala omo kisengekyo.
Si tous se pliaient à sa volonté, le monde serait parfait.	Evyosi vyamavya okwisonda riiwe, ekihugho kyangavere vutsira kahinira.
Son récit de l'incident concorde avec le vôtre.	Akavave kiwe akekisida kalwiri kasosa akaghe.
Elle mate, la Emma.	Elle mate, la Emma.
Je te donne un baiser pour la crème glacée.	. Ngakugha omunyungutho owahuhirire.
Cherchez-vous un affrontement direct avec la Russie ?	Mukaronda amalwa nabanya Russie kwe?
Le pipeline traversera sa propriété, mais pour ça on devra creuser une tranchée.	Enzira yeri twala embimbano, haliwe okwekyo thukandi lebya kundu.
Bill et moi sommes des amis proches depuis longtemps.	Bill naghe hulhivira eritsuka kera.
Nous sommes arrivés trop tard à cause de toi.	Mothukahika ndangalhiri vusana naghe.
Je descends l'escalier.	Ngandaghala okokisambiro.
Les ordinateurs font facilement ce traitement.	Evisengula vkakolavweghuvweghu omwatsyoyo.
Marie a appelé ses chats Gabriel et Jerry.	Maria mwaha evivundu view vyamena wa Gabriel na Gery.
De l'or avait été découvert en Californie.	Ehoro muyasungwa e Californie.
Ne répète pas la même erreur !	Sighusyasuva omorilolo righumerera!
Comme à mon habitude, une fois rentré chez moi, je posai ma sacoche sur mon bureau, et m'affalai sur la banquette pour me reposer quelques minutes.	Ngoko yirimitsye, ngandivya nasuveka, navyanga theka engunza yaghe omovisengevyaghe, ngasondelhiluhuka hake.
Quelle chouette surprise !	Mushishiro owalhyathi?
Nous aurons de nombreuses difficultés à surmonter dans le futur.	Thukandivya novulhigho erilava amavikasa.
Je crains de ne pas suivre.	Ngwiryovuva ovyerivyaho.
Abandonne, t'es trop nul.	. Thwirayoho ghulhighuthya.
Ce ne sera pas long avant que Scott ne se rétablisse.	Sivyandivya viri embere Scott athekane.
Je m'habille et ensuite je prendrai mon petit-déjeuner.	Akanyambalaye nangandiyalhya.
Elle est en mesure de contrôler la situation.	Anginalhevya evyosi.
Joindre le geste à la parole.	Erihira ekinywa ne rithegheko.
Le pâtre ne conduit pas le mouton au bout d'une corde puisqu'il revient à la maison tout seul.	Omulhisha syalhi sondola esyombuli omolukova vusana akasweka yeyuwene.
Fais gaffe aux serpents !	Ulhevaye ndeke oko nzoka!
Je crois que c'est improbable que des extraterrestres comme ceux qu'on voit dans les films aient visité notre planète.	Ngalhekenaya sivyangathokekana avindivihangika ngevyothukalangira erivya nganganasya lhevya ekihugho kyethu.
L'usage du klaxon est à éviter de nuit. De nuit, préférez les appels de phares.	Erikolhesye ngunga siryowene omokiro, omokiro. kumbi ekyakakala ikyokya kolhesivwa.
Quand je vous ai vu, j'ai su que vous seriez une source d'ennuis.	Omughulu nyira kulangira, mongalangira ighukandivya nzuko eye rikura kurana.
Je suis fan de Tatoeba.	Nyirimwira we totoeba.
Est-ce que tu te rappelles combien ça a couté ?	Unasi ngaviryaghula singahi?
Ravie de faire ta connaissance.	Namatsema nga kuminya.
Cet élève fait parfois semblant d'être malade.	Omukolho oyu akayiyira momulwere.
On peut aussi compter sur les tatouages pour informer les médecins d'une maladie chronique ou d'une allergie du patient.	Thwanganalhevya neshisako erivwira omunganga kutse okovilhevirye omulwere.
Notre inimitié remonte à notre enfance.	Ovira vwethu vwatsuka omovwana.
J'ai grandi à la campagne dans un bled perdu.	Monakulhira omomulhenjo.
La danse à la barre verticale est un art.	Amasatha owomokibana ni luhavwa.
Pourquoi les Palestiniens n'ont-ils pas le droit de retourner dans leur foyer national ?	Vusanaki avanya paalestina sivawithe mbangwa eyerisuva onmo kighugho kyavo?
Cookie sauta sur Kate.	Cookie mwaghundulana na Kate.
Le règlement de l'école prévoit le port d'un uniforme par les élèves.	Emighambo eyokachasi yikathulagho yithi avakolho vanga mbala esyo njimba esyakalhasi.
Nathan amuse les enfants.	Nathan akanzangaya avana.
Ces années ont certainement été pour toi un interminable cauchemar.	Emyakeno moyikavya ya muhanda okwiwe.
Quand il était saoul, il était un prêtre assez intéressant et il disait toutes sortes de choses.	Omughulu avya mwera, avya mukara oyutsemesirye nakandi inyakavugha ekyosikyosi.
Hugo m'a certainement trompé.	Hugo mwandevire.
Le journaliste américain Ambrose Bierce a dit : « L'orthographe est une science qui consiste à écrire des mots avec l'œil et pas avec l'oreille. » Il ne connaissait sûrement pas l'espéranto !	Omuthulangulu owe vu Amerika Ambose Bierce mwakavugha athi: “omuthahi oweri saka akavanika iniwe rinyuma evinywa neriso vutsira nokuthu”. Avyaisyasi eki Esperanto!
S'il devait arriver plus tard, vous pouvez commencer la conférence sans lui.	Amavya inyangahikire ndangalhiri, manganatsukire olukuratho isyalhi naho.
Ne répondez pas à cela.	Isiwasuviraya okwekyo.
Qu'est-ce que tu racontes ?	Ukakanayaku?
Il faut absolument dénoncer les crimes de l'occupation.	Kumbe imwa kania okovwithi.
Jusqu'à présent, il a construit deux maisons.	Erihika hathya, avyavirihimba esyombimano iviri.
Excusez le foutoir.	Mughanyire ovutsatsambu.
Votre rêve de devenir un joueur de baseball se réalisera, si vous persévérez.	Esyonzolhi syaghu esyerivya mwesi owe baseball sikandisya vererera, wamaviyi theka.
Un homme qui est capable d'admettre une faute et de demander pardon est un homme selon mon cœur.	Omundu oyo wanganalhighira erivuyira erilolo nerisava ovughanyiri akavya ini mulume ngoko omuthima waghe avughire.
Je n'ai pas de matériel de camping.	Sigwithe oko vindu evyeri panga navyo.
Où que vous alliez en Hollande, vous verrez des moulins à vent.	Mwangaya hayi omovuholandi, ukandisyalangira emile eye rihunga.
La routine m’ennuie.	Evyovulhikiro vikanduhaya.
Laura dansa gracieusement.	Laura mwasatha.
Il lorgna une fille à l'extérieur d'un pub.	Mwakokya omukalhi enyuma syekirango.
J'ai ramené un bon sandwich pour ma femme hier soir.	Mongalhethera omukalhi waghe yenzwange eyuwene omorighologholo ryamunavwire.
Tant pis pour toi !	Vuhanya okwiwe!
Louis n'est pas débile.	Louis simukiru.
Je trouverai une explication à cela.	Ngandisunga ovulhi okwekyo.
Pouvez-vous me conseiller ?	Wangananyihana?
C'est sa Julie.	Kokirikithya Julie.
La jeune fille qui est habillée en blanc est ma fiancée.	Omumbesa oyumbithe omusohe nimwanzi waghe.
Mathis s'est finalement engagé dans la Marine.	Mathis avyavirilu nayi sakisha omo vulhasi vomongetse.
Tu es vraiment géniale.	Ghutsemesirye.
Ton ex est une psychopathe.	Omundu waghe akalhevaya omuthwe.
Tout recommence.	Evyosivikatsuka.
C'est curieux que tu dises ça.	Nikyerilhavya evivya ighuka vughaghuthya.
Apprenez des métiers et travaillez dans votre propre pays au lieu d'aller traîner dans les pays européens.	Munighe emiviri erigha erikolhera omokihugho kyenu omomwanenda weriyaghelheghenga omokihugho vye ulaya.
Lucy savait que Marie était maîtresse d'école.	Lucy avya inyanasi ngoko Marie avya mukangirirya.
L'accident qui s'est produit dans la rue Hang Tuah a impliqué trois voitures et un camion.	Ekisida ekirya kolheka omonguda eye HangTuah kilwe kyesyo nguruvani isathu esyongengenge nenene numa.
Il ne faut pas que nous prenions le moindre risque. Je donnerai l'ordre de réexaminer le tout.	Sithuvye neritesa. Nganditheka ehamulhi eyerisya lhevya evyosi.
Il est rare que les trois sommets d'un même triangle se rencontrent dans la vraie vie.	Nikwakuke amakonzwasathu awe kirangi vikaya sangana omwingaho.
La venue des salons de bronzage intérieurs permet maintenant aux Canadiens d'afficher un bronzage toute l'année.	Eryasa eryavathaku rikendilheka avanya Canada erikanjya eranji eyo omo mwaka ghosi.
« Où as-tu donc mis la voiture ? » « J'ai tourné dix minutes pour trouver une place de parking. »	“Moghukahira enguruvani yohi?” “Mongathimba ngendo ikumi erisunga ahongikiraya enguruvani”. »
Sa blessure l'empêche de travailler.	Ekihuthalhe kiwe kikalheka inyathasya kola.
Un mécanicien doué ne gagne pas mal sa vie.	Omukengereghesania akayilwako.
Il a traversé l'océan Pacifique en 30 jours.	Mwakiruka olushi olwe Pacifique omoviro makumiasathu.
Le droit communautaire doit préalablement être transcrit dans la législation des états membres de la communauté.	Eshombangwa eshavahimbani syangasakwa omovithavu evye visenge.
C'est la réalité ? Ou tu plaisantes ?	Nikwenene?  Kutse ukatsanga?
Pour les questions financières, M. Jones en sait plus que quiconque dans notre entreprise.	Okomavulhyo agholumbuka Jones juwasi vinji okovandi wase luva, imothwa kania oko mitheghekerere.
Venez tôt, de sorte que nous puissions discuter des projets.	Mwase luba, nero thukanaye okwebyo.
La grenouille verte saute dans la mare.	Ekikere kyamatwirekika kyomo malhiva.
Je les hais toutes.	Nyibqponire avoshi.
Ils m'ont laissée choisir un cadeau.	Movakandeka ngasombole evihembo.
Le prénom de Arthur est-il sur la liste?	Erina eryeka erya Arthur rine okokivave.
Avez-vous une liaison ?	Unawithe ovusnagania?
Ce lac ressemble à un océan.	Engetseyi yisosire olushilunji.
Yanis aimerait savoir ce qui va se passer ensuite.	Yanis anzire inyaminya evikandi lava.
La prophétie de sa mère qu'il deviendrait un grand musicien devait se réaliser plus tard.	Omumenyereri wa nyinyawiwe kwangavere muwathi we milahanguko vwangahikire ndangalhiri.
Un ménage est un groupe de personnes qui ont en commun un logement et des moyens de subsistance.	Embimbano ikavyamo avandu avawithe engeso nevika wathikayamo erivyaho.
La plupart des employés sont partis.	Avakolhi vangi vavirighenda.
J'ai juré que je ne lui parlerai plus jamais.	Navirilapa kosinendisyasya vughanaye.
Quelles sont vos raisons de pratiquer la médecine chinoise au Royaume-Uni ?	Evikalheka iwakolhesya ovuthahwa vwe Chine ighune eyiri ovughuma vovwami nivyahi?
L'armoire restera là où je l'ai mise, il n'y a là-dessus aucun doute.	Amalhumalhu akandisighala ahanyirya thekagho, sihalhi ekangathikwathikwako.
Ce sac à dos bleu est lourd.	Engunza eye mughongo eyi yirithokire.
Elle a chargé Louis de suivre l'affaire.	Mwakavugha athi Louis yukwamire oluvanza.
Lui et moi, on a survécu à l'enfer.	Iye naghe mothu kinda oluvanza.
C'était la première fois que je voyais Mathéo danser avec Marie.	Yavyangendo ye rimbere ngalangira matheo akasathana Marie.
Tu travailles aussi bien que lui quand il avait ton âge.	Ukakola ngaye ngesaha avya with oluvwa lwaghomovyosinu.
Je ne baisse pas facilement les bras.	Sindilhigha luva.
Je vais te filer l'adresse d'un ami.	Ngandikuha eyomundu alhi.
Le couple a rompu leurs fiançailles.	Vavya vavirilwikana.
De quelle marque et de quelle couleur est le véhicule du directeur ?	Enguruvani yo mulhikitere niya ranji na muhanda wahi?
Celui qui sauve une vie sauve le monde entier.	Oyukasavula ovuyingo akaya inya masavula ekihugho kyosi.
En résumé, les éthiques ne sont aussi qu'un langage des signes pour les émotions.	Omovyosi, esyombangwa ni muvughe oghovulhire.
Allez, dépêche-toi. Tu vas rater le bus.	Ingo anguha. ukandiherya enguruani.
L'homme a inventé le langage pour satisfaire son besoin profond de se plaindre.	Omundu mwavumba omuvughe akasonda eriyisuluvirira nerivya inyangana tsongera.
Il apprécie les légumes, tout particulièrement le chou.	Akatsemera esyonyinyi, kalhenjo eswa.
Quand Mathis se réveille, il a toujours soif.	Omughulu Mathis akavuka, akavya nenyotha.
Vous pouviez compter jusqu'à dix lorsque vous aviez deux ans.	Wangganaghanzire erihika okwikumi omughulu wavya nevirimo ibiri.
Si le nombre de lits de soins de longue durée est réduit, alors il ne sera pas possible de poursuivre et cela affectera aussi les lits d'hôpital de jour.	Emighambo eye syonjinga esyavalwere erikandisya vugheviro yama kehivwako, nikwa sikyendisyathokekana erikwamirira nekyo kyanganayavya oko,ji,go esyelupithali.
Ne touchez pas la vitre.	Sighuthule oko kiyo.
Tout est préférable à ces affreux guillemets informatiques qui viennent se coller aux mots de la langue française et les enlaidir à ce point !	Evyosivina sunzirwe oko vithondi evikayihira oko vinywa evyomuvughe ogholuparanza.
Il ment comme un sermon d'enterrement.	Akatheva ngekisomo ekyerithavalhya.
Si vous êtes fatigué de débattre avec un inconnu sur Internet, essayez de parler à l'un d'entre eux dans la vraie vie.	Wamavya iwamaluha erikania navandu avoghuthasi okwe intaneti, therilhengekania nomughuma ghokwivo omwivyaho.
Vous feriez mieux de sortir de là-bas.	Mwangayirire ndeke mwana lwiremo.
Ce sont purement des constatations, n'y voyez aucun jugement de valeurs de sa part.	Nimi hahamuko, simulanngiremo vindu evyeangavya movusosi.
Vous travaillez plus dur que quiconque ici.	Ukakola kutsivu kulava aandi vandu hano.
Les poupées aux filles et le ballon aux garçons.	Evyesa nivyavakalhi nakaghulhughulhu nika valwana.
On en parlera à personne.	Sithwendivwira mundu.
Je pourrais certainement faire usage de cette récompense.	Nanganakolhesirye evihembwevi.
Attends, tu te moques de moi ? Pourquoi on irait si loin ?	Uhinda.  Ukanzeka?  Vusanaki thwangayire halhi?
Tu m'en vois navré.	Ukandumirakyo?
L'ancien dictateur égyptien lutte contre la mort.	Omuvuyi owekyendulhya owe vushipili anemulwa okoluholo.
J'aimerais que tu arrêtes de dire ça.	Nganza ulhekere aho erivughokwevyo.
Dans la panique, j'ai fait n'importe quoi.	Omuvuyire vuthi, nangakola ekyosi.
Cette technologie est une chose incroyable !	Omukengeresania avinimwasi owesiswekera!
Après son coup d’éclat, il est devenu une personne célèbre dans la région.	Enyuma syekyererezi kiwe, avirikumayira omokithatha kiwe.
Il se peut que mon explication soit absolument erronée. Je la tiens cependant pour la plus plausible.	Alinga omukania waghe atsandire ngalengekanaya kalenjo nivyamuhungo kundu. Alhinga emyatsiyaghe siyathavya yakwenene: nasikira oko vikavua nga kwenene.
Quand t'es-tu mise à écrire des chansons ?	Ukandisaka ehilhikilhiki hyomughulu wahi?
Rien d'étonnant à ce qu'elles aient refusé sa proposition.	Erighana evyalhya vugha sikiswekirye.
Une fois, je suis allé à l'atelier d'un peintre que je venais de rencontrer au milieu de la nuit. C'était une pièce sombre dans un grenier.	Omughulhu nyiryaaya omo kivuthe kyomo kengereghesania oyo ngalwa okwisangana omokiro. Kilwekindu ekyo mwimia omokighona.
Elle a une photo de lui dans son casier.	Avawithe okokisasamira kiwe omo rithuva riwe.
Ne jouez pas avec les allumettes.	Sighusathe omo mamete.
Traduire ce roman était mon rêve.	Erivindula okithavu eki syavya nzolhi syaghe.
"""As-tu déjà mangé un insecte ?"" ""Une seule fois et c'était dans un sandwich que tu m'avais préparé."""	“Nanavirirya ekihuka?” Kavya kaghuma nakandi kyavya omomulukanolhukano oghowanyihekenaya.
Mais que s'est-il donc passé ? On ne peut pas compter sur toi. Nous avions rendez-vous à huit heures moins le quart, et toi tu arrives à huit heures cinq.	Kuliwe mohalavaki? Sithwangayiketherawe. Thulwe ithunalaghene oko saha munani nekitswe. Nikwa naghe ukase ndangalhiri?
Ne te moque pas de moi ! Je suis sérieuse.	Sighunzeke! Nyinayilhighire.
Je n'ai pas le droit de vous parler de l'incident.	Sikyamuhungo erikukamirya okoviryalava.
Son cœur bat normalement.	Suva omo vusengevyaghu.
Retournez dans votre chambre.	Suva omo vusengevyaghu.
Sami était avec ses potes.	Samwelhi avya navenziviwe.
Tu peux identifier la voix des enfants sans le moindre problème.	Wanganaminyerera omulhenge Wavana vutsira mbanza.
Cette mère célibataire a deux emplois juste pour être en mesure de payer le loyer et nourrir ses enfants.	omuvalhi awithe miviri iviri okwithoka erilhiha enyumba neriha avana vakalhyo.
La plupart des gens craignent plus d'affronter leurs erreurs que de se tromper.	Avandu vanji vakakwa ovuva vwamalolo wavo omomwanyenda weri yitheva.
Réaliser une belle soudure n'est pas à la portée de tout le monde !	Erikokothya ekihambo ekyavene siluhavwa lovulhimundu!
La fleur de l'illusion produit le fruit de la réalité.	Eriwa eryerilhengekania vikalwa oko omokwenene.
L'auto roule rapidement.	Enguruvani yikathivitha.
Quiconque parle de lui-même veut, en règle générale, nous tromper sur lui.	Oyukayilhengako omughuulu yerisoha syalhisunga kindu.
Celui qui revient bredouille de la pêche ne contracte rien.	Oyukasa butsira kindu okwilhoba sialhi bana kindu.
Le chat a détruit mon canapé.	Ekivundu kyaghe kyaviritsandia ekithumbi kyaghe.
Je veux manger des spécialités locales, de la poitrine de porc caramélisée aux châtaignes et à la sauce nengyouchijiang.	Nganza nyirye evyeashili, avyomokiralhi ekye nguluve.
Le policier porte un masque à gaz.	Omupolishi anahekire ekyavisa deusu.
Rien d'extraordinaire ne s'est produit.	Sihalhi ekiryavya.
Je n'ai pas d'autre façon de me sortir de ce malheur.	Singwithe esindinzira esyonanga yihamo omovuhanyovu.
Je voudrais qu’on me coupât la tête, elle me gêne par sa masse, elle ne me sert à rien…	Navyanyanzire ivanyithwa ko muthwe, akanduhaya, nasyanyiwitheko ndundi.
Dans l'un de mes rêves enfiévrés que je déteste le plus, j'ai dû démêler, de tête, un bloc de nouilles japonaises sèches.	Omo nzoli nguma eyomosindi esyongapona, mongatswanganaya, omuthwe, nakalundo akovundu ovwengano.
Quelque chose sent le brûlé.	Ekindu ekihire kyamakumba.
Elle apporta sur la table un pain tout chaud et un grand vase plein d’une crème épaisse excellente.	Mwalhetha ovundu ovenahuhene voko vutara, nekisahani ekirimo evindu evidayimene.
Vous vous y ferez des amis.	Mukayaverayo vira.
Notre alarme incendie se déclenche parfois lorsque ma mère prépare quelque chose dans la cuisine.	Ekengelhe yethu yikavugha omughulu nyinya akahuka.
J'ai un rencard ce soir.	Nangwithe oko myatsiminji omo righologholo rino.
Bienvenue en enfer !	Kalhibo omo ryaghalhwa rino.
Il m'a fallu sortir d'ici.	Kumbe nyiralwa hano.
Les fumeurs sont une bande d'idiots.	Avafeti niringumba eryavakiru.
Chassez le naturel, il revient en courant.	Muthivithe okovathulaho, vakasuvula vakathivitha.
Il essayait de cacher sa honte.	Akalhengerivisa esisoni siwe.
On la voit marcher de dos.	Thukalanira akaghendera omomughango.
