fra	swc	swc_clean
Qui court le plus vite, Ken ou Tony ?	Nani njo anakimbiaka mbio, Ken ao Tony?	Nani njo anakimbiaka mbio, Ken ao Tony?
Tu devrais épouser quelqu'un que tu aimes.	Unapashwa kuowa mwenye unapenda.	Unapashwa kuowa mwenye unapenda.
Il faut faire attention lorsque l'on écrit les réponses lors d'un test.	Unapashwa fanya angalisho wakati uko unaandika majibu ya mashindano.	Unapashwa fanya angalisho wakati uko unaandika majibu ya mashindano.
L'aristocratie se retrouve également dans le monde moral. Les roturiers paient avec ce qu'ils font, les nobles avec ce qu'ils sont.	Mfumo wa kitwala ya aristocratie inapatikana pia katika ulimwengu wa tabia na roho nzuri. Raia wa kawaida wanalipaka kutokana na kazi yao, matajiri wanalipaka kutokana na gisi wako.	Mfumo wa kitwala ya aristocratie inapatikana pia katika ulimwengu wa tabia na roho nzuri. Raia wa kawaida wanalipaka kutokana na kazi yao, matajiri wanalipaka kutokana na gisi wako.
Ils ont fait arranger la voiture.	Walitengenezesha gari.	Walitengenezesha gari.
L'ancien directeur est en disgrâce.	Kiongozi wa zamani iko mu hali ya aibu.	Kiongozi wa zamani iko mu hali ya aibu.
J'aimerais que cette rencontre ne dure pas plus de vingt minutes.	Ningependa iyi mkutano isifanye zaidi ya dakika makumi mbili.	Ningependa iyi mkutano isifanye zaidi ya dakika makumi mbili.
Stop !	Acha!	Acha!
Autrefois, les enfants jouaient encore à la corde à sauter.	Zamani, batoto balikuwa banacheza muchezo ya kuruka kamba.	Zamani, batoto balikuwa banacheza muchezo ya kuruka kamba.
Il y a des fois où ce garnement me ferait tourner en bourrique !	Piko wakati huyu bukaramusi itanifanyaka kuwa duru!	Piko wakati huyu bukaramusi itanifanyaka kuwa duru!
J'ai fait contrôler ma vision.	Nilipimisha macho yangu.	Nilipimisha macho yangu.
Continuez d'avancer.	Muendelee.	Muendelee.
Jules est mort avec un couteau dans le dos.	Jules alikufa kwa kupigwa kisu mu mugongo.	Jules alikufa kwa kupigwa kisu mu mugongo.
En voulez-vous un simple ou un double ?	Unataka ya kawaida ao ya mbili?	Unataka ya kawaida ao ya mbili?
Je sentis que je devais simplement descendre du bateau.	Nilisikia kama nilipashwa tu kushuka mu mashua.	Nilisikia kama nilipashwa tu kushuka mu mashua.
J'avais l'habitude de jouer avec un couple de garçons.	Nilikuwa na tabia ya kucheza na ba garcons bawili bawili.	Nilikuwa na tabia ya kucheza na ba garcons bawili bawili.
Madame Grégoire venait de descendre à la cuisine, en pantoufles et en peignoir de flanelle.	Bibi ya Gregoire alishuka mu mafiga, anavala biato ya pantoufles na kitambala mu kichwa.	Bibi ya Gregoire alishuka mu mafiga, anavala biato ya pantoufles na kitambala mu kichwa.
Dégage !	Toka!	Toka!
Il a atteint la cible.	Aligusa kitu yenye alikuwa na vizia.	Aligusa kitu yenye alikuwa na vizia.
Cet album me rappelle mes joyeux jours d'école.	Iyi album inanikumbusha wakati muzuri ya zamani tulipokuwa ku masomo.	Iyi album inanikumbusha wakati muzuri ya zamani tulipokuwa ku masomo.
Trouvez un emploi !	Tafuta kazi!	Tafuta kazi!
Il faut dégager immédiatement la piste d'atterrissage.	Inaomba kutoka haraka fasi kwenye ndege inashukiaka.	Inaomba kutoka haraka fasi kwenye ndege inashukiaka.
Monter à cheval est très marrant.	Kupanda ku farasi ni kitu ya kufurahisha.	Kupanda ku farasi ni kitu ya kufurahisha.
Il y a un bon nombre de raisons pour lesquelles vous ne devriez pas le faire.	Kuko sababu mingi zenye zinaweza tuma usiifanye.	Kuko sababu mingi zenye zinaweza tuma usiifanye.
Je refuse de t'adresser la parole !	Minakatala kukusemesha.	Minakatala kukusemesha.
Quand vous aurez écrit votre nom, mettez aussi la date.	Ukimaliza andika jina yako, utie na tarehe.	Ukimaliza andika jina yako, utie na tarehe.
L'as-tu tuée ?	Ulimuua?	Ulimuua?
Je suis rentré un peu tard, cette nuit.	Nilirudia nyuma kidogo, iyi busiku.	Nilirudia nyuma kidogo, iyi busiku.
Vous devriez présenter vos excuses.	Ulipashwa kulomba musamaha.	Ulipashwa kulomba musamaha.
Est-il vrai que l'amour et la haine sont très proches l'un de l'autre ?	Ni kweli upendo na chuki binakaribiana sana?	Ni kweli upendo na chuki binakaribiana sana?
Si tu t'y rends par le bus, tu peux y être dans environ le tiers du temps.	Ukienda ako na bisi, unaweza fika ile wakati kugabula amo mara tatu.	Ukienda ako na bisi, unaweza fika ile wakati kugabula amo mara tatu.
Il était couché sur le dos.	Alikuwa analalia mugongo.	Alikuwa analalia mugongo.
Apparemment, il comprend ce que nous disons en finnois.	Inaonekana kama iko nasikia tunayo ongea mu luga ya finnois.	Inaonekana kama iko nasikia tunayo ongea mu luga ya finnois.
Le vieillard est totalement aveugle d'un œil et voit très mal de l'autre.	Mzee ni kipofu wa licho moja kabisa na anaona na ile ingine licho kwa shida.	Mzee ni kipofu wa licho moja kabisa na anaona na ile ingine licho kwa shida.
Tous les garçons sont partis en courant.	Ba garcons yote balienda banakimbia.	Ba garcons yote balienda banakimbia.
Je vous remercie, adieu !	Minakushukuru, kwa heri!	Minakushukuru, kwa heri!
Je te remercie du fond du cœur.	Minakushukuru kutoka ndani ya roho yangu.	Minakushukuru kutoka ndani ya roho yangu.
Cessez de rêver et ouvrez les yeux.	Acha kulota na ufungule macho.	Acha kulota na ufungule macho.
Hier on a passé une soirée super avec mes frères et mes amis, et le barbeuc était trop bon aussi.	Jana tulipitisha mangaribi muzuri na wandugu na marafiki zangu, na barbecue (nyama za kuchomewa) ilikuwa ya muzuri sana pia.	Jana tulipitisha mangaribi muzuri na wandugu na marafiki zangu, na barbecue ilikuwa ya muzuri sana pia.
Des recherches ont montré que l'hygiène des mains est un moyen de lutte efficace contre les épidémies de gastro-entérite.	Utafiti ilionesha kama usafi wa mikono ni njia ya kupiganisha magonjwa za tumbu.	Utafiti ilionesha kama usafi wa mikono ni njia ya kupiganisha magonjwa za tumbu.
C'était un brave soldat.	Alikuwa askari shujaa.	Alikuwa askari shujaa.
J'ai eu de la chance que le train ait du retard. Sinon je l'aurais raté.	Nilipata bahati kuona gari la moshi ilichelewa. Bila vile singeipata.	Nilipata bahati kuona gari la moshi ilichelewa. Bila vile singeipata.
Mettez le jeu en pause.	Mu stopper kwanza muchezo.	Mu stopper kwanza muchezo.
On lui a poliment dit que sa présence n'était pas la bienvenue.	Walimuambia kwa adabu kama hawakuwa nataka afike.	Walimuambia kwa adabu kama hawakuwa nataka afike.
En bref, il s'est enfui sans payer ses dettes.	Kwa kifupi, alikimbia bila kulipa ma deni zake.	Kwa kifupi, alikimbia bila kulipa ma deni zake.
Pardon. J'ai failli ne pas réussir à venir ici.	Samahani. Nilitaka shindwa kufika hapa.	Samahani. Nilitaka shindwa kufika hapa.
J'en ai marre de tes excuses.	Nilishachoka na misamaha yako.	Nilishachoka na misamaha yako.
Essaie d’expliquer en gros de quoi ça parlait.	Pima kufasiria kwa kirefu ilikuwa nahusu nini.	Pima kufasiria kwa kirefu ilikuwa nahusu nini.
Je viens de faire nettoyer ce costume.	Minaliza kusukulisha iyi koti.	Minaliza kusukulisha iyi koti.
L'éléphant a été amené au zoo.	Balibeba tembo ku zoo (mahali minyama wanaishi).	Balibeba tembo ku zoo.
"""Si l'argent n'amène pas la paix, rends-le."", a dit Jules Renard."	"""Kama pesa hazilete amani, zirudishe."" alisema Jules Renard."	"""Kama pesa hazilete amani, zirudishe."" alisema Jules Renard."
Pourquoi tu m'appelles comme ça ?	Juu ya nini unaniita hivi ?	Juu ya nini unaniita hivi ?
Peut-être viendra-t-elle demain ; peut-être n'est elle pas venue hier justement car demain elle aura plus de temps libre.	Labda atakuya kesho, labda akukuya jana kwa sababu kesho atakuwa na wakati ya mingi zaidi.	Labda atakuya kesho, labda akukuya jana kwa sababu kesho atakuwa na wakati ya mingi zaidi.
J'ai décidé de me reposer un peu avant de reprendre le travail.	Niliamuwa kupumuzika kidogo mbele niendeleshe kazi.	Niliamuwa kupumuzika kidogo mbele niendeleshe kazi.
J'ai à nouveau fait ce rêve étrange, la nuit passée.	Nililota tena ndoto ya ajabu, busiku ya jana.	Nililota tena ndoto ya ajabu, busiku ya jana.
Je ne sais pas quand je pourrai te rembourser l'argent que je te dois.	Sijui wakati ndakulipa pesa zako zenye niko nazo.	Sijui wakati ndakulipa pesa zako zenye niko nazo.
Quelle formidable coïncidence !	Ni suprise nzuri sana!	Ni suprise nzuri sana!
Elle est allée se faire couper les cheveux.	Alienda kujinyolesha nywele.	Alienda kujinyolesha nywele.
Quel est cet imbécile qui a jeté ses chaussettes dans les toilettes ?	Ni pumbavu gani njo alitupa chokse (chaussettes) zake mu toilette (wc)?	Ni pumbavu gani njo alitupa chokse zake mu toilette?
Il a accepté le job.	Aliitika ile kazi.	Aliitika ile kazi.
Vous ne devriez pas compter sur l'aide d'autres personnes.	Haungepashwa tumainia watu wengine.	Haungepashwa tumainia watu wengine.
Ils attachèrent les mains de Pinocchio dans son dos et lui passèrent le nœud autour du cou.	Balifungia Pinocchio mikono mu mugongo yake na wakamuzungulusha kamba mu shingo.	Balifungia Pinocchio mikono mu mugongo yake na wakamuzungulusha kamba mu shingo.
Es-tu en train de suggérer que nous nous fassions passer pour des agents de police ?	Uko nashauri tujifanye kama watu wa polisi?	Uko nashauri tujifanye kama watu wa polisi?
Elle a fini par devenir une star du cinéma.	Alifikia kuwa muigizaji mukubwa wa filamu.	Alifikia kuwa muigizaji mukubwa wa filamu.
Ne te laisse pas tromper. Il fait seulement semblant d'être amoureux de toi.	Usidanganyike. Anajifanya kama anakupenda.	Usidanganyike. Anajifanya kama anakupenda.
Je n'ai pas eu de tes nouvelles. Je me demandais si peut-être mon courrier électronique ne t'était jamais parvenu.	Sikupata habari zako. Nilikuwa najiuliza kama email yangu haikukufikiaka.	Sikupata habari zako. Nilikuwa najiuliza kama email yangu haikukufikiaka.
Adam fut le premier brouillon pour Ève.	Adamu alikuwa brouillon ya kwanza ya Eva.	Adamu alikuwa brouillon ya kwanza ya Eva.
La main faute, le dos paie.	Mkono inafanyaka kosa, mugongo inalipa.	Mkono inafanyaka kosa, mugongo inalipa.
Malheureusement, l'ambulance est arrivé trop tard.	Kwa bahati mubaya, ambulance ilikuya nyuma sana.	Kwa bahati mubaya, ambulance ilikuya nyuma sana.
Vous avez dit que vous alliez le gérer.	Ulisema utaishurulikia.	Ulisema utaishurulikia.
J'ai été en Italie dans le cadre d'un programme d'échange.	Nilikuwa Italia ili kuhuzuria kwenye mpango ya kubadilisha mawazo.	Nilikuwa Italia ili kuhuzuria kwenye mpango ya kubadilisha mawazo.
Ce vaisseau spatial est propulsé par un moteur ionique.	Iyi chombo ya angani inatumia moteur ionique.	Iyi chombo ya angani inatumia moteur ionique.
Ne bougez plus !	Usitingizike!	Usitingizike!
Qu'est-ce qu'il fout ici ?	Iko nafanya nini hapa?	Iko nafanya nini hapa?
Il va falloir se coucher de bonne heure et se lever tôt.	Inaombwa kulala mbele ya wakati kusudi ili kulamuka mapema.	Inaombwa kulala mbele ya wakati kusudi ili kulamuka mapema.
Le point de fusion d'un alliage eutectique est atteint à plus faible température que la température de fusion respective de chacun des matériaux pris séparément.	Kiwango ya kuyeyuka ya muchanganyiko wa chini inafikiaka kwa température ya chini kuliko température ya muyayuko ya kila moja ya vifaa yenye ilikamatwa mu hali tafauti.	Kiwango ya kuyeyuka ya muchanganyiko wa chini inafikiaka kwa température ya chini kuliko température ya muyayuko ya kila moja ya vifaa yenye ilikamatwa mu hali tafauti.
Nous l'avons trouvée vivante.	Tulimukutana ni mzima.	Tulimukutana ni mzima.
Je ne vous ai pas vus jusqu'à présent.	Siyakuona mpaka hivi.	Siyakuona mpaka hivi.
Sans air, les être vivants ne pourraient vivre.	Bila hewa, viumbe haviwezi ishi.	Bila hewa, viumbe haviwezi ishi.
Il n'y a personne qui prendra soin d'elle.	Hakuna mwenye atamushurulikia.	Hakuna mwenye atamushurulikia.
Je veux aller à la fac.	Nitaenda ku chuo kikuu (université).	Nitaenda ku chuo kikuu.
Quel est votre réel objectif ?	Shaba kabisa ni nini?	Shaba kabisa ni nini?
Mon père a acheté du terrain avec l'intention de construire une maison.	Baba yangu aliuza kiwanja na nia ya kujenga nyumba.	Baba yangu aliuza kiwanja na nia ya kujenga nyumba.
Ne vous inquiétez pas, il est fiable.	Usikuwe na wasiwasi, ni mtu muzuri.	Usikuwe na wasiwasi, ni mtu muzuri.
Il m'a posé un lapin; je l'ai attendu toute la soirée !	Alinialika na hakukuya, nilimungoya mangaribi yote!	Alinialika na hakukuya, nilimungoya mangaribi yote!
J'ai une corde dans le coffre.	Niko na kamba mu coffre.	Niko na kamba mu coffre.
Le travail à temps partiel de ma femme ramène un peu d'argent supplémentaire.	Kazi ya muda kidogo ya mke wangu inaleta pesa kidogo za ziada.	Kazi ya muda kidogo ya mke wangu inaleta pesa kidogo za ziada.
Thomas se cache dans le garage.	Thomas anajificha mu garage.	Thomas anajificha mu garage.
Vous n'avez pas à vous inquiéter.	Usikuwe na wasiwasi.	Usikuwe na wasiwasi.
Soyons raisonnables et ne parlons que des faits !	Tutumikishe akili na tuongelee mambo ya kweli!	Tutumikishe akili na tuongelee mambo ya kweli!
Le bâtiment que vous voyez là est un usine automobile.	Ile nyumba unaona pale ni kiwanda ya kutengeneza ma gari.	Ile nyumba unaona pale ni kiwanda ya kutengeneza ma gari.
Thomas était enchanté.	Thomas alifurahi sana.	Thomas alifurahi sana.
Avez-vous des gosses ?	Uko na watoto wadogo	Uko na watoto wadogo
Je vous assure que j'ai pris cette possibilité en considération.	Minakuhakikishia kama nilifikiria iyi uwezekano.	Minakuhakikishia kama nilifikiria iyi uwezekano.
Elle est allée directement au lit.	Alienda ku kitanda mara moja.	Alienda ku kitanda mara moja.
Si je descends, je te mets un coup de boule !	Nikishuka, nitakupiga ngumi!	Nikishuka, nitakupiga ngumi!
Je pense que vous savez ce que vous devriez faire.	Minawaza kama unajua kitu yenye ulipashwa fanya.	Minawaza kama unajua kitu yenye ulipashwa fanya.
Ils explorèrent le désert à la recherche du trésor enfoui.	Walichunguza ndani ya jangwa kwa kutafuta kwenye hazina ilifichwa.	Walichunguza ndani ya jangwa kwa kutafuta kwenye hazina ilifichwa.
Un changement de décor ne me ferait vraiment pas de mal !	Kama rangi ya nyumba inabadirishwa haitanichukiza kabisa.	Kama rangi ya nyumba inabadirishwa haitanichukiza kabisa.
Je ne peux exprimer ce que je ressens.	Siwezi kuelezea gisi minajisikia.	Siwezi kuelezea gisi minajisikia.
Je pense pouvoir atteindre la branche si vous me donnez une impulsion.	Minawaza kama ndaweza fikia kamaba kama unaniambia namna ya kufanya.	Minawaza kama ndaweza fikia kamaba kama unaniambia namna ya kufanya.
Ses chaussures blanches laissent des traces de couleur rouge foncé.	Biato yake ya mweupe binaacha alama za rangi mwekundu.	Biato yake ya mweupe binaacha alama za rangi mwekundu.
Les passagers prièrent qu'elle appelle le capitaine et que celui-ci explique les conséquences de l'avarie.	Wasafiri waliomba amuite capitaine kusudi afasirie vinyume ya uharibifu.	Wasafiri waliomba amuite capitaine kusudi afasirie vinyume ya uharibifu.
Je viens de m'acheter une voiture qui m'a coûté la peau des fesses.	Natoka uza gari ya bei sana.	Natoka uza gari ya bei sana.
Elle est restée figée comme si elle avait vu un fantôme.	Alibakia kimya sawa vile aliona muzimu.	Alibakia kimya sawa vile aliona muzimu.
Il faut juste que tu regardes ce que je fais.	Inaombwa tu uangalie byenye niko nfanya.	Inaombwa tu uangalie byenye niko nfanya.
Nous devons débarrasser le pays des drogues.	Tunapashwa ondoa madwa ya kulevya mu inchi.	Tunapashwa ondoa madwa ya kulevya mu inchi.
Enlève les bicyclettes du trottoir !	Tosha kinga mu njia!	Tosha kinga mu njia!
Louise a un corps fantastique.	Louise iko na mwili ya muzuri sana.	Louise iko na mwili ya muzuri sana.
C'est le son que vous entendez quand tout est silencieux.	Njo sauti yenye unasikiaka wakati kila kitu kiko kimya.	Njo sauti yenye unasikiaka wakati kila kitu kiko kimya.
Cours plus vite, sinon tu vas manquer le train.	Kimbia tena zaidi, kama sivyo utakosa gari la moshi.	Kimbia tena zaidi, kama sivyo utakosa gari la moshi.
Votre misère comme la mienne vous aura donné sans doute la mesure de ce que valent les hommes : il faut se servir d’eux comme on se sert des chevaux de poste.	Umaskini yako kawa vile yangu itakusaidia kujua watu ni nini : inaomba kuwatumia kawa bile farasi za ku poste zinatumikishiwaka.	Umaskini yako kawa vile yangu itakusaidia kujua watu ni nini : inaomba kuwatumia kawa bile farasi za ku poste zinatumikishiwaka.
Je n'arrive pas à croire que je regardais cette émission.	Siamini kama nilikuwaka naangalia iki kipindi.	Siamini kama nilikuwaka naangalia iki kipindi.
"Ken appelait Tom ""la souris""."	"Ken alikuwa anaita Tom ""panya""."	"Ken alikuwa anaita Tom ""panya""."
Il est promis au musulman qui accomplit toutes les prières obligatoires le bien-être en ce monde éphémère et dans l'au-delà, le séjour au paradis.	Muislamu mwenyi kufanya sala zote zinazo lazimishwa anaahidiwa maisha mema katika iyi dunia ya kupita na katika maisha ya milele, kuingia paradiso.	Muislamu mwenyi kufanya sala zote zinazo lazimishwa anaahidiwa maisha mema katika iyi dunia ya kupita na katika maisha ya milele, kuingia paradiso.
Ne restez pas plantés là ! Aidez-moi à le nettoyer !	Musibakie munashimama pale. Nisaidie kuisukula!	Musibakie munashimama pale. Nisaidie kuisukula!
Les chromosomes de nos cellules contiennent l'ensemble de notre matériel génétique.	Chembe chembe ya cellules zetu zinakuwa na kila kitu kinacho unda matériel génétique yetu.	Chembe chembe ya cellules zetu zinakuwa na kila kitu kinacho unda matériel génétique yetu.
La vie c'est ce qui se passe pendant que tu es occupée à faire d'autres plans.	Maisha ni kile kinacho fanyika wakati uko na tayarisha mipango ingine.	Maisha ni kile kinacho fanyika wakati uko na tayarisha mipango ingine.
Il croit en la superstition disant que 13 est un nombre qui porte malheur.	Anaaminia ile inayosemwa kwamba 13 ni namba inayo leta mikoshi.	Anaaminia ile inayosemwa kwamba 13 ni namba inayo leta mikoshi.
Je me souviens encore — et plus rien ne m'importe — de ces jours à la lumière si douce, qui me laissaient toujours, comme souvenir, quelque nouveau jouet à la porte.	Ningali nakumbuka - na hakuna kinacho nisumbua tena - hizi siku za mwangaza muzuri, zenye zilikuwa zinaniachia siku zote, kama vile ukumbusho, vifaa ya mupya ya kuchezesha ku mlango.	Ningali nakumbuka - na hakuna kinacho nisumbua tena - hizi siku za mwangaza muzuri, zenye zilikuwa zinaniachia siku zote, kama vile ukumbusho, vifaa ya mupya ya kuchezesha ku mlango.
J'ai le sentiment que vous ne voulez pas vraiment que je conduise.	Niko nasikia sawa hautaki kabisa nitembeze.	Niko nasikia sawa hautaki kabisa nitembeze.
Vous ne pourrez probablement pas faire cela.	Haungefanya hata vile.	Haungefanya hata vile.
J'espérais un peu que tu viennes seule.	Minatumaini kidogo kama utakuya wepeke.	Minatumaini kidogo kama utakuya wepeke.
Vous l'avez fait au vu et au su du personnel.	Iliifanya mbele na wafanyakazi.	Iliifanya mbele na wafanyakazi.
Notre foyer est aussi le vôtre.	Jamaa yetu ni yako pia.	Jamaa yetu ni yako pia.
Il n'y a pas de train direct. Vous devez changer à Paris.	Hakuna gari la moshi ya kwenda moja kwa moja. Unapashwa badilishia Paris.	Hakuna gari la moshi ya kwenda moja kwa moja. Unapashwa badilishia Paris.
Nous sommes arrivés à 2h30 et Marie est arrivée un peu plus tard.	Tulifika na saa munane na nusu ya busiku na Marie alifika nyuma kidogo.	Tulifika na saa munane na nusu ya busiku na Marie alifika nyuma kidogo.
Au lieu que chacun utilise un système de traitement de texte différent, tout le monde devrait utiliser le même.	Kuliko kila mtu atumikishe namna tafauti ya kuandika ku ordinateur, watu wote wanapashwa tumikisha namna iyo iyo namna.	Kuliko kila mtu atumikishe namna tafauti ya kuandika ku ordinateur, watu wote wanapashwa tumikisha namna iyo iyo namna.
Elles ont appelé leurs chats Jules et Jerry.	Waliita pusi zao Jules na Jerry.	Waliita pusi zao Jules na Jerry.
Ce qu'on répète le plus, ce ne sont pas les vérités, mais les mensonges.	Mara mingi kinacho ruduliwa sana, hakizoweyi kuwa cha kweli, lakini ni uongo.	Mara mingi kinacho ruduliwa sana, hakizoweyi kuwa cha kweli, lakini ni uongo.
Pourquoi perdre la moitié de sa vie à dormir pendant la nuit alors qu'on pourrait utiliser tout ce temps à se reposer ?	Kwa nini mtu kupoteza nusu ya maisha mtu analala busiku ijapokuwa iyi muda inaweza tumikishwa kwa kupumuzika.	Kwa nini mtu kupoteza nusu ya maisha mtu analala busiku ijapokuwa iyi muda inaweza tumikishwa kwa kupumuzika.
Ainsi disait l'âne: laisse-moi seulement poser mes lèvres sur l'orge.	"""Uniache tu nitie midomo yangu ku mayani"", alisema punda."	"""Uniache tu nitie midomo yangu ku mayani"", alisema punda."
Tu te rends compte de ce que tu me demandes de faire?	Unaelewa chenye uko naniomba nifanye?	Unaelewa chenye uko naniomba nifanye?
J'ai cru entendre une explosion.	Niliwaza minasikia muripuko.	Niliwaza minasikia muripuko.
Je t'en dois une, Scott.	Minabakia mu deni yako, Scott.	Minabakia mu deni yako, Scott.
Je ne vous laisserai plus me donner des ordres.	Sitakuruhusu unipatie maagizo.	Sitakuruhusu unipatie maagizo.
Je déteste que tu fasses semblant de ne pas me connaître.	Minachukiaka wakati unajifanyaka sawa vile mwenye haunijui.	Minachukiaka wakati unajifanyaka sawa vile mwenye haunijui.
Pour l'un de nos clients, une entreprise internationale de production de haute technologie, je suis à la recherche d'un spécialiste en applications expérimenté.	Kwa mumoja wa wateja wetu, kampuni ya kimataifa ya kiteknolojia ya yulu, niko natafuta mutaalaamu mwenye kuwa na uzoefu wa ku créer ma applications.	Kwa mumoja wa wateja wetu, kampuni ya kimataifa ya kiteknolojia ya yulu, niko natafuta mutaalaamu mwenye kuwa na uzoefu wa ku créer ma applications.
Vous voulez sortir d'ici, n'est-ce pas ?	Unataka toka hapa, si vile?	Unataka toka hapa, si vile?
La réception reçoit les appels téléphoniques.	Huduma ya réception inapokeaka mwenye kuita ku simu.	Huduma ya réception inapokeaka mwenye kuita ku simu.
Tu me rappelles quelqu'un.	Unanikumbusha mtu umoja ivi.	Unanikumbusha mtu umoja ivi.
Les dossiers sont manquants.	Piko ma dossiers zenye zinakosa.	Piko ma dossiers zenye zinakosa.
Je serais ravie s'ils me demandaient de prononcer un discours.	Ndafurahi wakiniambia nitoe hotuba.	Ndafurahi wakiniambia nitoe hotuba.
Kate est plus maligne que n'importe quel autre élève de notre classe.	Kate ni mwerevu kuliko mwanafunzi wote mu darasa yetu.	Kate ni mwerevu kuliko mwanafunzi wote mu darasa yetu.
Ce serait un péché que de le gâcher.	Inaweza kuwa zambi kama unaiharibisha.	Inaweza kuwa zambi kama unaiharibisha.
Je trouve que Tatoeba, pour nous amis des langues, est devenu un lieu très agréable, en particulier pour tous ceux d'entre nous qui peuvent comprendre et apprendre des langues relativement rapidement et facilement.	Minaona kama Tatoeba, kwa sisi wapenzi wa luga, ilishakuwa fasi nzuri sana, hasa kwa wamoja kati yetu ambao wanaweza kuelewa na kujifunza luga kwa haraka kwa urahisi.	Minaona kama Tatoeba, kwa sisi wapenzi wa luga, ilishakuwa fasi nzuri sana, hasa kwa wamoja kati yetu ambao wanaweza kuelewa na kujifunza luga kwa haraka kwa urahisi.
C'est open bar pour les filles jusqu'à minuit le mardi soir.	Mabinti watatumia pombe kwa bure mpaka saa sita za usiku siku ya pili mangaribi.	Mabinti watatumia pombe kwa bure mpaka saa sita za usiku siku ya pili mangaribi.
Ah ! je meurs, dit Pierrette en tombant sur ses genoux. Qui me sauvera ?	Ha! Minakufa, Pierrette alisema akiangukia magoti yake. Nani ataniokowa?	Ha! Minakufa, Pierrette alisema akiangukia magoti yake. Nani ataniokowa?
Le téléphone sonne. Mais personne ne répond.	Simu iko inalia. Lakini hakuna mwenye anajibia.	Simu iko inalia. Lakini hakuna mwenye anajibia.
Depuis quand vous êtes en couple, avec ta copine ?	Muko mu couple tangu wakati gana, weye na rafiki yako wa kike?	Muko mu couple tangu wakati gana, weye na rafiki yako wa kike?
Qui sait quel type de métier Enzo souhaiterait exercer quand il sera grand?	Nani mwenye anajuwa aina gani ya kazi yenye Enzo anapendelea kufanya wakati atakuwa mkubwa?	Nani mwenye anajuwa aina gani ya kazi yenye Enzo anapendelea kufanya wakati atakuwa mkubwa?
Ne laissez pas vos effets personnels sans surveillance.	Usiache bitu yako binafsi bila kubichunga.	Usiache bitu yako binafsi bila kubichunga.
La majorité des algériens soutiennent le régime militaire algérien faute d'avoir un régime islamiste.	Baazi ya Waaljeria wanaunga mkono utawala wa kialjeria ya kijeshi kwa sababu hakuna serkali ya Kiislamu.	Baazi ya Waaljeria wanaunga mkono utawala wa kialjeria ya kijeshi kwa sababu hakuna serkali ya Kiislamu.
Il abandonna son rêve de devenir pilote.	Aliacha ndoto yake ya kukuwa rubani (pilote).	Aliacha ndoto yake ya kukuwa rubani.
Un jour sans rires est un jour perdu.	Siku bila cheko ni siku ya kukufa bure.	Siku bila cheko ni siku ya kukufa bure.
Elle a envoyé le paquet par avion.	Alitumana ile mzigo (colis) kwa ndege (avion).	Alitumana ile mzigo kwa ndege.
En raison des risques croissants de complication, le médecin prit la décision de provoquer l'accouchement.	Kwa sababu ya kuongezeka kwa mataizo ya kiafya, dakatri alikamata uamuzi wa ku poromosha mimba.	Kwa sababu ya kuongezeka kwa mataizo ya kiafya, dakatri alikamata uamuzi wa ku poromosha mimba.
"Si quelqu'un vous dit : ""Je me tue à vous le répéter"", laissez-le mourir."	"Kama mtu anakwambia: ""minajisumbua kuwafasiria mara mingi"", umuache akufe."	"Kama mtu anakwambia: ""minajisumbua kuwafasiria mara mingi"", umuache akufe."
Ouais, on sait déjà que tu es un gros malin !	Ndio, tulisha jua kama uko mujanja!	Ndio, tulisha jua kama uko mujanja!
Le jour où les extrémistes seront en mesure de détruire la mosquée d'al-Aqsa, les autorités d'occupation ne feront rien pour les empêcher.	Siku yenye vikundi vyenye kuwa na musimamo mkali (wa extrémistes) wataweza kuharibu msikiti wa al-Aqsa, wakubwa wa inchi hawatafanya kitu chochote kwa kuwazuia.	Siku yenye vikundi vyenye kuwa na musimamo mkali wataweza kuharibu msikiti wa al-Aqsa, wakubwa wa inchi hawatafanya kitu chochote kwa kuwazuia.
C'est fou comme la Nouvelle Russie ressemble à l'ancienne !	Ni kitu ya kushangaza kuona Rusia Mpya (Nouvelle Russie) inafanana na ile ya zamani!	Ni kitu ya kushangaza kuona Rusia Mpya inafanana na ile ya zamani!
Les filles étaient pavoisées de rubans et de dentelles, les garçons en belle veste propre avaient arboré les chapeaux ronds en soie bleue.	Mabinti walikuwa napambwa kwa rubans na dentelles, wa garçons walikuwa navala koti nzuri safi na kofia za muviringo za soie ya rangi ya bleu.	Mabinti walikuwa napambwa kwa rubans na dentelles, wa garçons walikuwa navala koti nzuri safi na kofia za muviringo za soie ya rangi ya bleu.
Anna, n'as-tu pas un frère ?	Anna, hauna kaka?	Anna, hauna kaka?
Si vous saviez la vérité, vous seriez surpris.	Ungekuwa najua ukweli, ungeshangala.	Ungekuwa najua ukweli, ungeshangala.
Tu le feras à la dure ou à la bonne manière.	Utaifanya kwa namna ya nguvu ao ya muzuri.	Utaifanya kwa namna ya nguvu ao ya muzuri.
Ne tirez pas sur ma manche.	Usikogote mukono ya shati (chemise) yangu.	Usikogote mukono ya shati yangu.
