fra	lin
Il fut élevé au rang de colonel il y a deux ans.	Anetolamaki na molongo ya colonel eleki mibu mibale.
J'aimerais bien essayer de ramener ma machine à laver qui est toujours à Lyon en Allemagne.	Nakosepela komeka komema machini ya kosokola bilamba ya ngayi oyo ezali kino sikoyo na Lyon na Allemagne.
Sabu est devenu une balance du FBI.	Sabu akomi monongi ya FBI.
Pourquoi ton code ne marche pas ? Déjà arrête de coder avec les pieds, mets des commentaires, et seulement après je verrai ce que je peux faire pour toi.	Pona nini code nayo ezali kosala te ? Tika ko coder na makolo, tiya mwa maloba, mpe kaka sima nde nakotala nini nakoki kosala mponayo.
Nul ne peut fuir son destin.	Mokote akoki kokima mwango naye.
Si j'étais le proprietaire du restaurant, je dirais aux employés qu'ils servissent les clients en souriant.	Soki nazalaki nkolo malewa, nalingaki kolobela basali ete basalela ba clients na esengo.
Les questions décontenancèrent le témoin.	Mituna mabulanganisaki motatoli.
Apparemment, il n'y a rien qui ne puisse se produire aujourd'hui.	Nakotala, elokomoko te ekoki kosalema lelo.
Certains seraient prêts à vendre leur mère pour mettre la main dessus.	Boko bakoselingwa koteka ba mama na bango pona kozwa yango.
Ah ben bravo !	Ah ebongo longoniya !
Je suis désolé d'être habillé comme ça.	Bolimbisi lokola nalati boye.
Sami était inquiet de la réaction que pourraient avoir les autres personnes.	Sami amitungisaki na oyo basusu bakokaki kosala.
Pour être garantis de prendre du fric aux ados, il faut sortir des albums avec des titres en anglais !	Pona kozala na etingiya ete ekozwa eloko uta nabilenge, esengeli obimisa banzembo na mikonza na lokoto ya ngelesa !
Tout ce que tu fais c'est d'essayer d'échapper à la réalité.	Nyoso ozali kosala ezali kokima bosolo.
""" O comble de grandeur ainsi que de misère ! / Non, vous ne voyez pas une ombre mensongère ; / oui, malgré moi je vis, et pour souffrir encor. """	""" O litondi ya bonene mpe ya mawa ! / Te, bozali komona elilingi ya lokuta te ; / hiyo, atako bongo nazali kobika, mpe pona konyokwama lisusu. """
Hum, hum !	Hum, hum !
J'espère que quelqu'un verra cela.	Nalikya ete moto moko akomona yango.
Liliana est un prénom de fille et son diminutif courant est Lili, cependant Iana est parfois utilisé, étant la seconde partie du prénom.	Liliana ezali kombo ya bana basi mpe bokuse nango oyo eyebani ezali Lili, kasi Iana esalelamaka mpe ndango mususu, lokola ezali eteni ya mibale ya kombo.
Alan Turing, un des héros britannique de la Seconde Guerre mondiale, le gouvernement anglais l'a castré chimiquement, de même que des milliers d'autres personnes, parce qu'il était homosexuel. Il a fini par se suicider.	Alan Turing, moko ya bilombe ya babritannique na etumba ya mibale ya mokili mobimba, bokulaka yaba ngelesa balongolaki ye kimobali, elongo na kiasa ya batu misusu, mpo ete azalaki homosexuel. Asukaki nako miboma.
L'anthropologue américaine Margaret Mead a déjà dit qu'il ne faut jamais sous-estimer ce qu'un petit groupe de personnes dévouées peut accomplir.	Anthropologue ya america Margaret Mead asilaki koloba ete esengeli te kotala pamba oyo etonga moke ya bato baye bamipesi ekoki kosala.
Il y a toujours eu une minorité ayant peur de quelque chose et une grande majorité ayant peur de l'obscurité, de l'avenir, du passé, du présent, d'eux-mêmes et de leurs propres ombres.	Ezalaka tango nyoso na ndambu ya bato baye bazali kobanga eloko moko mpe bato ebele baye bazali kobanga molili, ya lobi, ya kala, ya sika awa, ya bango moko mpe ya bililingi nabango moko.
Je t'avais pourtant prévenu de ne pas jouer au petit malin avec moi.	Nakebisaki yo ete osalela mayele mabe na ngayi te.
C'est une victoire à la Pyrrhus. Dans une victoire à la Pyrrhus, le vainqueur perd plus qu'il ne gagne.	Ezali elonga na lolenge ye Pyrrhus. Na elonga na lolenge ya Pyrrhus, molongi abungisaka koleka ndenge azali kolonga.
Henry veut te voir.	Henry alingi komona yo.
Mathis est dans le coma et les docteurs ne sont pas sûrs qu'il va survivre.	Mathis azali na coma mpe minganga bayebi malamu te soki akobika.
Ne t’en va plus dire à d’autres garçons que tu les aimes, OK ?	Kokende lisusu koyebisa bilenge mibali misusu te ete olingi bango, toyokani?
« What à Wonderful World » fait partie de mes morceaux préférés.	« What à Wonderful World » ezali moko yaba nzembo nalingaka mingi.
Nul ne voit jamais si clair aux affaires d'autrui que celui à qui elles touchent le plus.	Moko te amonaka malamu makambu yabatu misusu koleka yaye moko.
Sami and Layla avaient besoin de regagner leur confiance.	Sami na Laylabazalaki na bosenga yakozongela boyokani nabango.
Aujourd'hui, j'étais censé étudier à la bibliothèque, mais je me suis réveillé vers midi.	Lelo, nasengelaki kotanga na bibiliothèque, kasi nalamukaki na zanga.
Jim est le diminutif de James.	Jim nde bokuse ya James.
Rien d'étonnant à ce qu'elles aient refusé l'offre qu'elle leur faisait.	Yakokamwisa ezali te nalolenge baboyi oyo apesaki bango.
Ne dites pas des conneries.	Koloba buzoba te.
Ils ont battu la campagne à la recherche de la victime.	Bakendaki koluka baye bzwamaki na likama.
Pourriez-vous me dire le code postal de New York ?	Okoki koyebisa ngayi code postal ya New York ?
Je perds mes dents. Je meurs en détail.	Nazali kobungisa mino nangayi. Nazali kokufa ndambu ndambu.
Alex décrirait correctement l'objet et sa couleur, même s'il ne l'avait jamais vu auparavant.	Alex akotalisa malamu eloko yango na langi nayango, ata soki nanu amona yango te.
Je ne laisserai rien de mal t'arriver.	Nakotika mabe ekomela yo te.
Désolé mon amour, je suis encore coincé au bureau.	Bolimbisi bolingo nangayi, nakangami lisusu na mosala.
Je voudrais envoyer ce paquet au Japon par voie maritime.	Nalingi kotinda liboke oyo na Japon nanzela ya mayi.
Je n'aime pas mentir, mais ça me parait nécessaire dans certains cas.	Nalingaka kokosa te, kasi emonanaka ya motuya ndango mosusu.
Il faut des historiens, pour rendre compte des événements ; des témoins imparfaits, qui déclinent l'expérience singulière ; des romanciers, pour inventer ce qui a disparu à jamais : l'instant présent.	Esengeli baye batanga mambi maleka, pona kotalisa makambo ; batatoli baye babongi te, baye baboyi maye babikaki ; bakomi, pona kobimisa oyo elimwa libela : lelo ya mpwasa.
Ma tante habite à New York.	Tata mwasi nangayi avandaka na New York.
J'espère que personne ne te dira cette phrase.	Na banza ete moto te akolobela yo maloba oyo.
Si jamais Jason m'appelle, dis-lui que je ne suis pas là.	Soki  Jason abengi ngayi, lobelaye nazali te.
À l'hôpital, l'infirmière lui a lu la plupart des lettres de sa femme.	Na lopitalo, monganga ya mwasi atangelaki ye mingi ya mikanda ya mwasi naye.
Vous.... vous avez un nez... heu... un nez... très grand.	Bino.... bozali na zolo moko... heu... zolo moko... monene penza.
Je devine que ce que j'ai dit n'est pas très clair, mais c'est la seule façon que j'ai de l'expliquer.	Na banza ete oyo nalobi ezali polele penza te, kasi lolenge se moko nazali nayango yakolimbola yango wana.
À certains moments, j'ai envie de plaquer ce boulot.	Na batango misusu, nazali na posa yakotika mosala oyo.
Nous ne savons pas encore s'il s'est vraiment cassé la jambe. Ils vont en faire une radio.	Naino toybi te soki solo abukani lokolo. Bakotala yango na radio.
Dans ce métier on voit tout de suite les résultats.	Namosala oyo tomonaka na lombango mbano.
À la seconde où le facteur passe, il fonce dehors pour ramasser son courrier.	Kaka na tango momemi sango aleki, akeyi libanda mpona kozwa mukanda naye.
Le baiser est la plus sûre façon de se taire en disant tout.	Lipepwi nde lolenge ya malamu yako vanda nye mpe koloba nyonso.
Qui va là ? cria le sergent d’une voix rauque.	Nani ekeyi kuna ? Sergent abelelaki namongongo makasi.
Tout d'abord, gardez fermement en tête la prévention de la criminalité ! Avant de sortir, verrouillez les portes !	Na yambo, tiya na moto bobatelami na bobomibomi ! Yambo kobima, kanga molango !
Vous racontez de belles histoires d'amour.	Bozali kobeta lisolo malamu ya bolingo.
Si vous continuez de vous entraîner, vous serez dans un mois un très bon joueur de tennis.	Soki bokobi kosala, na sanza moko okokoma mobeti tennis monene.
Êtes-vous capable de sauter par dessus une chaise à partir de la station debout ?	Ozali namakoki ya kopumbwa kiti moko wana ezali yo yako telema ?
Ne pleure jamais pour un homme car le seul qui mérite tes larmes ne te fera jamais pleurer.	Kolelaka te mpona mobali jambi oyo alongobani na mpizoli nayo akotikala kolelisayo te.
Il n'y a aucun pays de la terre où l'amour n'ait rendu les amants poètes.	Ezali na mboka moko te na mokili wapi bolingo ekomisaka bakwelani bakomi ya ntoki te.
L'objective de cette entreprise est de gagner la confiance et le respect de nos clients.	Makambo companie oyo ezali kolanda ezali ete tokoma nakozwa etingiya mpe limemiya yaba clients na biso.
Les rires, les cris joyeux s’élevaient de tous les côtés.	Koseka, koganga na esengo ezalaki kowuta bipayi binso.
Il y a plus de sept ans, les États-Unis poursuivaient al Qaeda et les Talibans avec un large soutien international. Nous n'y sommes pas allés par choix, nous y sommes allés par nécessité.	Eleki mobu sambo, Etats-Unis ezalaki kolanda  al Qaeda mpe Talibans na simbisi monene ya bikolo misusu. Tokendaki nabolingi te, tokendaki mpo ezalaki ya motuya.
Hé, que s'est-il passé ?	Hé, nini esalemaki ?
Je ne connais aucun aveugle.	Nayebi mutu ya lolanda ata moko te.
À peine aperçut-il la silhouette du poulet, que ni une ni deux il dégaina son flingue avant de balancer la purée.	Kaka na tango amonaki soso, ete moko to mosusu te abongisaki mopanga naye.
J'appelle de la part de Monsieur Simon.	Nabengi na kombo ya Mbutamutu Simon.
Ne faites pas comme si vous ne saviez pas danser !	Kosala lokola obungikobina te !
Je te fiche mon billet qu'il n'y arrivera pas.	Napesi yo lokasa na ngayi akokoma te.
Les êtres sensoriels, dans tout l'Empire Galactique, pouvaient envoyer des messages télépathiques à travers de grandes distances.	Baye bazalaka na mayoki mingi, na bokonzi Galactique mobimba, bakokaki kotinda basango na bongo naba ntaka milayi.
Attendez, ne vous tirez pas dessus !	Bozela, bomiboma te!
Il fut fatigué d'être l'avocat du diable et maintenant accepte chaque idée qu'ils proposent, peu importe qu'elle soit idiote.	Alembaki kozala molobeli ya satana mpe sikaawa ndima makanisi nyoso azali kopesa, ata soki ezali yabolema.
Je n'ai pas pu sortir à cause de la forte pluie.	Nabimaki te mpona mbula makasi.
Lisa a reproché à Marc de souvent mettre tout dans le même sac.	Lisa apamelaki Marc lolenge yakotiaka makambo nyoso elongo.
Quelles sont les cinq premières lettres de votre adresse électronique ?	Baletele mitano ya liboso ya adresse email na yo ezali nini?
J'espère qu'il y aura ici une station de métro dans l'avenir.	Nabanzi ete etemelo ya métro ekozala awa na mikolo mizali koya.
Durant son mandat, de nombreuses nouvelles lois ont été promulguées.	Na mikolo ya mosala na ye, mibeko mingi ya sika mibimaki.
Cela te dérangerait-il de me fournir un peu d'aide pour certains problèmes que je rencontre ?	Ekotungisa yo kosunga ngai na boko makambo nakutanaka na yango?
Est-ce que tu as vraiment laissé ta voiture ouverte avec les clés sur le contact ?	Otikaki solo motuka mwa yo polele na fungola elongo?
Vous devez réaliser vos plans.	Bosengeli kokokisa miango mya bino.
L'opinion est une chose par laquelle je tente d'expliquer pourquoi tout le monde devrait penser comme moi.	Likanisi ezali eloko oyo nazali komeka kolimbola mpo na nini bato  basengeli kokanisa lokola ngai.
Combien nous savons peu, nous nous en apercevons lorsque nos enfants commencent à poser des questions.	Toyebaka bobele moke, tokomaka na kososola yango ntango bana na biso babandaka kotuna biso mituna.
On regarde une femme savante comme on le fait d'une belle arme : c'est une pièce de cabinet, que l'on montre aux curieux.	Batalaka mwasi ya mayele mingi lokola basalaka na bondoki ya bonzenga: ezali eteni moko ya bilo, oyo batalisaka bato ya bokebi mingi.
Ha ha ha ! Tu veux tuer toutes les mouches ?	Ha ha ha ! Olingi koboma nzinzi nyonso ?
Tant que je respire, j'espère.	Ntango nazali kopema, nazali na elikya.
Le regard vide des yeux de poupées m'a toujours effrayé.	Etaleli ya miso ya bana popi ebangisaka ngai.
« Désolée, je t’ai posé une question déplacée ? » « Non, pas du tout. » « Alors pourquoi tu réponds pas ? »	"""Nayoki mawa, natunaki motuna mabe ? » «Te, ata moke te. """"Bongo mpo na nini ozali koyanola te ? »"
Laissez votre message après le bip.	Tinda nsango na yo nsima ya bip.
Pardonnez-moi d'être franc ; votre visage ne me revient pas.	Limbisa ngai mpo na kozala na bosembo; nazali koyeba yo lisusu te.
J'attendais à peine depuis une minute quand il arriva.	Nazalaki kozela mpene ya munite moko ntango ye akomaki.
Ce type est vraiment sexy.	Mobali oyo azali na nzoto.
J'espère que le bateau ne fera pas naufrage dans la tempête qui s'annonce !	Nalikei ete masuwa ekozinda te na mbonge ezali koya !
Tu verras, un jour, tu trouveras l'amour.	Okomona, mokolo moko, okozwa bolingo.
Jules se sentait sous pression pour trouver un moyen de résoudre le problème.	Jules azwamaki na mikakatano mpo na koluka nzela ya kozua eyano na likambo.
C'est un champ de bataille. Une seule règle: survivre.	Ezali elanga ya bitumba. Mobeko se moko: kobika.
Voir son charmant visage me détend.	Komona elongi na ye ya boboto ezali kosepelisa ngai.
C'est le second article de la série sur les infrastructures de greffons.	Oyo ezali monkanda ya mibale ya makambo etali boyangeli misala ya oyo batiaka na etape.
Il paraît que le nouveau de la classe d’à côté est trop beau gosse.	Ekoki kozala ete mwana ya nsima ya kelasi ya mpembeni azali kitoko makasi.
Nick mésestime quiconque vient de la campagne.	Nick azuaka bato bawuti mboka lokola bato mpamba.
Si Dieu a béni les États et régimes racistes et colonialistes, ceci voudrait-il également dire qu'il a maudit les Vietnamiens, les noirs sud-africains, les Iraqiens, Ies Afghans, les Vietnamiens et les Palestiniens ?	Soki Nzambe apamboli mboka na boyangeli iye ikabolaka lomposo, yango elingi koloba alakela bavietnamien, bayindo ya Afrique du sud, ba Irakien, ba Afgan, ba Vietnamiens na ba Palestinien mabe ?
Ferme les yeux,  fiston, tu ne vas pas tarder à dormir tranquille.	Kanga miso, mwana, okoumela te kolala mpongi ya kimya.
C'est un essai politique brillant, enlevé.	Ezali mokano kitoko ya politiki, elongolami.
Je connais Jim depuis mon enfance.	Nayebi Jim uta bomwana na ngai.
Insouciant du passé, peu satisfait du présent, on veut deviner l'avenir.	Lobanzo te na maye maleka, kosepela te na maye ya lelo, tolingi kokanisa maye makoya lobi.
Son adresse venait d'un talent inné surprenant et non de plusieurs années de pratique.	Maloba na ye ezali likambo ya mbula ebele ya kosala te kasi  likambo ya kokamwa uta mbotama na ye.
J'écoute un audiolivre sur Harry Potter avec le baladeur que je viens d'acheter.	Nazali koyoka buku ya Harry Potter na ladio (fono) nauti kosomba.
Cela se voit sur son visage qu’il est triste.	Elongi na ye ezali kolakisa ete azali na mawa.
De là le feu divin, pour nous guider, sans doute, / vers la forêt d'Ida suit sa brillante route, / prolonge dans les airs ses sillons radieux, / jette une odeur de soufre, et se perd à nos yeux.	Na kuna moto ya bonzambe, oyo ezali kolakisa biso nzela, ya solo, / epai na zamba ya Ida ezali kolanda nzela ya kitoko, /ezali kotindika mwinda na likolo, / ezali kopesa solo ya soufre, mpe ezali kolimwa na miso na biso.
"Quand j'entends le mot ""culture"", je sors mon revolver."	"Ntango nayokaka nkombo ya ""zebi"", nabimisaka revolver na ngai."
J'espère que tu sais que la dernière chose que je veuille faire est de te blesser.	Nabanzi ete oyebi eloko ya nsuka oyo nakoki kosala ezali kozokisa yo.
C'est le bonhomme de neige le plus moche que j'aie jamais vu.	Oyo azali moto moko ya mabe koleka na baye banso namona.
Quand est passé l'épisode ?	Epizodi yango eleki mokolo nini ?
Noah est d’autant plus content de son sort qu’il est fier de ne pas avoir eu à demander de l’aide de quelqu’un.	Noah azali na esengo na oyo ekomeli ye mpo asengaki lisungi ya moto te.
Si tu n'es pas sorti de la douche d'ici cinq minutes, je coupe l'eau chaude !	Soki na miniti mitano obimi na douche te, nakokati mayi ya moto !
J'espère que nous pourrons nous arranger pour venir à ta fête.	Nakanisi ete tokoki kosala nyonso mpo toya na fete na yo.
Dites à ces personnes de se retirer, afin que l'hélicoptère puisse se poser.	Boyebisa bato wana balongwa, mpo na elikoptere ekoka kokita.
Les gars ! Attendez !	Bana-mibali ! Bozela !
Hier soir j'ai regardé un film allemand en version originale sur le programme Arte.	Lobi eleki nalandaki filime allemand moko na lolenge na yango ya liboso na pologalame ya Arte.
La somme des dons et des cotisations versées par un individu à un ou plusieurs partis ne peut excéder 7 500 euros par an.	Lisanga ya makabo mpe mosolo oyo moto na moto apesa esengeli  koleka te 7 500 euro na mbula.
Je te suis reconnaissant pour ce que tu as fait précédemment.	Natondi yo mingi mpo na oyo osalaki mikolo mileki.
L'équipe japonaise, vainqueur de la Coupe du Monde, est rentrée enthousiasmée par cette victoire.	Ekipi ya Japon, molongi coupe du monde, ezongaki mboka na esengo ya elonga.
La police a enquêté sur le passé du suspect.	Pulusi etunaki bomoyi ya kala ya moto bakanisaka mabe.
La Garde meurt mais ne se rend pas !	Mokengeli akufi kasi amikabi te !
Je ne regrette pas ce qui s'est passé la nuit passée.	Nazali koyoka mawa te na oyo elekaki lobi na butu.
Où puis-je poser ces bières ?	Nakoki kotiya masanga oyo wapi ?
Je voulais vous toucher un mot de ce qui s'est passé.	Nalingaki nabetela yo mwa lisolo ya likambo oyo esalemaki.
La recherche de «fleuve» renvoie un avertissement que cette recherche est illégale sur l'Internet chinois, ces jours-ci.	"Soki obeti nkombo ""fleuve"", monkanda moko ekobima mpe koloba ete epekisami koluka nkombo yango na interneti na mboka Chine, mikolo oyo."
Tout ce que vous devez faire, c'est tirer profit de cette occasion rare.	Nyonso bosengeli kosala, ezali kosalela eposa eye ezalaka mingi te.
Hey, je viens d'avoir une bonne idée.	Hee, nauti kozwa likanisi ya malamu.
Il ne les quitte pas, dans leur retraite sombre, / qu'au nombre des vaisseaux il n'égale leur nombre. / Puis il retourne au port, partage son butin.	Akotika bango te na ntango ya mpasi / na motuya ya masuwa ekokani te na mitango nyonso. / Na nsima azongi na libongo, mpe abakoli mbano na ye.
Vous regardez vos belles images.	Bozali kotala bililingi kitoko ya bino.
J'ai l'impression que quelque chose d'horrible est sur le point d'arriver.	Nazali kokanisa ete eloko moko ya mabe elingi esalema.
Marie trouve son copain adorable.	Marie azali komona moninga na ye mobali lisimi.
Kitty a 12 ans et elle ne peut toujours pas lire.	Kitty azali na mibu 12 kasi ayebi kaka kotanga te.
Un bon archer atteint la cible avant même d’avoir tiré.	Miso ya mobomi ndeke ekangaka ndeke yambo ye abamba libanga.
Je présente mes excuses pour ne pas avoir immédiatement répondu.	Nasengi bolimbisi mpo napesaki eyano mbala moko te.
Bien que l'échec des négociations soit évident, certains gardent un peu d'espoir.	Ata ko ezomonana ete masolo ya boyokani ekokende liboso te, bato basusu bazali na mwa na elikya.
J'espère que tu te plais ici.	Nabanzi ete osepeli kozala awa.
Le paysan, dans son labour, arrache peu à peu quelques secrets à la nature, et la vérité qu'il dégage est universelle.	Mosali elanga, na mosala na ye, azali kozua moke moke basekele ya mabele, mpe bosolo oyo abimisaka endimamaka mokili mobimba.
Les nouvelles de la mort de son fils furent un choc.	Nsango ya liwa ya mwana na ye ya mobali ekataki ye motema.
Raphaël était un mec génial.	Raphaël azalaki mobali moko malamu.
Je me souviens avoir vu Sami un peu gros, mais je n'aurai jamais imaginé qu'il deviendrait aussi gros que ça.	Nakanisi namonaka Sami azalaka mwa monene, kasi natikala kokanisa te akokaki kokoma monene boye.
L'honnêteté paye à la longue.	Bosembo efutaka ata ndele.
Désolé, mon patron est en train de dormir. Revenez demain, je vous prie.	Mawa, mokonzi na ngai azali kolala. Nabondeli yo, zonga lobi.
Tu n'écoutes pas, hein ?	Oyokaka te,  hein  ?
Trouvez un boulot, de façon à pouvoir subvenir aux besoins de votre femme et de vos enfants !	Luka mosala oyo ekoleisa mwasi mpe bana na yo !
Si tu n'es pas content, va respirer ailleurs !	Soki osepeli te, kende kopema esika mosusu !
Hé bien, je me lève tôt, donc je veux dormir, là.	Na bongo, nalamukaka ntongo mpenza, bongo nalingi nalala, kuna.
Cette piste d'atterrissage sera opérationnelle dans quelques semaines.	Libanda ya mpepo oyo ekofonguama nsima ya mwa mposo.
J'essayais de prouver quelque chose.	Nazalaki koluka eloko moko.
L'agent de police a indiqué que ça avait l'air d'une blessure par balle volontaire à la tête.	Polisi alobaki ete ezalaki lokola mpota ya masasi oyo babeti na moto.
Vous étiez à court d'idées.	Makanisi esilaki bino.
Il est si naturel d'estimer ce qu'on aime qu'on voudrait que partout on l'estimât de même.	Ezali malamu kokanisa ete oyo tolingaka, mpe tolingaka nyonso esalema na bopete lolenge tokanisaka.
Changez de train à Chicago pour New York.	Bozwa engunduka mosusu na Chicago mpo na kokende New York.
Est-ce que je connais les secrets des millionnaires ?	E bongo ngai nayebi basekele ya millionnaires (bazwi misolo ebele) ?
Tom avait du rouge à lèvres partout sur son visage.	"Tom azalaki na ""rouge à lèvre"" na elongi na ye nyonso."
"""Peux-tu m'expliquer ceci ?"" ""Il n'y a rien à expliquer. Ce sont les ordres et nous devons les suivre."""	"""Okoki kolimbolela ngai oyo ?"" ""Eloko ya kolimbola ezali te. Ezali mibeko mpe esengeli tolanda yango."
Comme maman renarde attendait, inquiète, le retour de son petit en frémissant d’impatience, elle fut si heureuse lorsqu’il arriva qu’elle eut envie de pleurer et lui fit un gros câlin.	Lokola mama mokenge azalaki kozela, na kobanga nyonso, bonzongi ya mwana na ye, atondisamaki na esengo ntango mwana azongaki, mposa ya kolela ekangaki ye mpe ayambaki mwana na ye.
J'ai apporté les bonnes réponses aux questions.	Napesi biyano ya malamu na mituna.
On utilise les pointillés pour le modèle, et les traits continus pour la réalité.	Basalelaka ba pointiye mpo na modeli, mpe batrait oyo elandami mpo na bosolo.
Nous ne comprenons pas que vous puissiez encore chercher pourquoi Bernadette Dejeu a été tuée.	Tozali kososola te mpo na nini bozali kokoba koluka boyeba mpo na nini Berandette Dejeu akufaki.
Je peux parfaitement gérer une classe de soixante élèves.	Nakoki kokamba malamu kelasi ya bana 60.
Ça m'a coûté 50 dollars pour réparer ma montre.	Nafuti 50 dollar mpo na kobongisa montele na ngai.
Il y a eu de nombreux meurtres, l'année passée.	Bato ebele babomamaki, mobu moleki.
Les seules traces de doigt que la police a trouvé sur la poignée de porte étaient de Kylia.	Bilembo ya maboko oyo bapolisi bamonaki na loboko ya ekuke ya ndako ezalaki ya Kylia.
Les deux pays partagent 500 km de frontière.	Mboka yango mibale ikaboana na ndelo ya kilometele 500.
Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.	Nayebi ete mposa ya basusu kati na bino ezali makambo ezonga lolenge ezalaki kala, kasi tika nayebisa biso ekosalema te.
Les médecins recommandent des médicaments pour combattre les maladies.	Minganga basengi tozwa nkisi mpo na kokimisa makoni.
Dan est un shérif adjoint à la retraite.	Dan azali shérif molandi  ya kokende epaso (retraite).
Ça reviendra moins cher sur le long terme de faire table rase du système existant et de tout refaire nous-mêmes.	Ekozala motuya mpo na biso soki totiki maye mazali mpe tobandeli nyonso biso moko.
Ne bouge pas ou je te tue.	Koningana te to nabomi yo.
Plus je me connais moi-même, plus ma vie devient claire.	Soki namiyebi ngai moko malamu, bomoi na ngai mpe ekokoma malamu.
J'ouvre la porte et je vois deux garçons qui se tiennent côte à côte.	Nafungoli ekuke mpe namoni bana mibali mibale batelemi penepene.
Les roses se fanèrent et Annie pleura beaucoup.	Bafololo rose ekuakaki mpe Annie alelaki mingi.
Mon opinion correspond à peu près à la tienne.	Makanisi na ngai ekokani mwa moke na makanisi na yo.
C'est l'un des plus beaux mecs que j'ai jamais vus.	Azali moko ya mibali ya kitoko makasi oyo namona naino te.
Perdu dans mes pensées, j'ai raté mon arrêt.	Makanisi eleki, naleki arret na ngai.
Pendant les nuits d'insomnie, ta venue, je l'espère.	Ntango mpongi esilaka na butu, mposa ya motema na ngai ezalaka ozonga.
Tommy ne sut pas répondre au dernier problème.	Tommy ayebaki kozongisa na likambo ya nsuka te.
"Ouvrez une image et choisissez une disposition d'image. Cliquez sur ""Ouvrir"" pour ouvrir une image. Cliquez sur ""Quitter"" pour quitter l'application. La fonction ""Disposition d'image"" vous permet de visualiser dans n'importe quelle disposition."	"Fungola elilingi moko mpe mpona libongisi moko ya elilingi. Finá ""Kofungola"" mpo na kofungola elilingi. Fina ""Kobima"" mpo na kobima na aplikasion. Okoki kotala bililingi na bapozision nyonso soki otoki na ""pozision ya elilingi""."
Va chercher la caméra.	Kende koluka kamera.
Maintenant que vous en parlez, qu'est-il arrivé à cet homme qui travaillait ici ?	Lokola bozali kolobela yango sika, nini ekomeli mobali oyo azalaki kosala awa?
Quand c'est l'anniversaire d'un membre de la classe, l'enseignante dessine toujours un drapeau sur le tableau.	Ntango ezalaka mokolo ya mbotama ya moto moko ya kelasi, molakisi ayemaka kaka bendele na etando (tableau).
Ce foutu ordinateur ne marche pas.	Ordinatere oyo ya buzoba ezali kosala te.
Si vous avez l'intention de rester en contact, demandez-lui ses coordonnées.	Soki olingi bobengana, senga ye numero na ye.
Si je n'écris pas pour me vider l'esprit, je deviens fou.	Soki nakomi te mpo nabimisi maye mazali na bongo na ngai, nakobela liboma.
La littérature est une affaire sérieuse pour un pays, elle est, au bout du compte, son visage.	Litelatili ezali likambo ya motuya mpo na mboka, mpo yango nde na nsuka ezali elilingi ya mboka.
Est-ce ce que vous voulez que je dise ?	Olingi naloba ?
Carl semblait très heureux.	Carl azalaki lokola na esengo makasi.
Quand il est question de créer de nouveaux contacts, Jérôme trouve ça difficile.	Koluka baninga ya sika ezalaka mpasi makasi mpo na Jérôme.
Le braquage de banque est souvent utilisé par les groupes armés comme un moyen pour obtenir de l'argent.	Bato ya mandoki bakendaka mingi-mingi kobuka ndako ya misolo mpo na koyiba mosolo.
Le sport qui occupe la première place dans le monde, c’est sans le moindre doute le football.	Lisano ya yambo na mokili mobimba, ata ntembe te, ezali nde ndembo.
Je classe sa musique comme du rock.	Mpo na ngai miziki na ye ezali rock.
Les analystes parlent déjà d'une possible «fusion du coeur de la livre».	"Bayekoli ya makambo moko moko bazali kolobela makoki ya ""bosangisi motema ya buku""."
Un homme a failli mourir en Californie après avoir tenté de poser pour un selfie avec un serpent à sonnette.	Mobali moko alingaki akufa na Californie nsima ya komeka kozwa foto na nyoka.
Reviens de suite, s'il te plait.	Kowumela te, nabondeli yo.
Arthur a le rôle du méchant.	Arthur azwi mosala ya moto mabe.
Ah ! ma chère miss, je serais heureuse de vous voir devenir la femme d'un bon fermier et être une de nos voisines.	Ah ! Ndeko mwasi, mposa na ngai ezali okoma mwasi ya mosali bilanga moko malamu mpe okoma moto moko ya mpembeni na biso.
En France, ce ne sont pas les couilles que l'on coupe mais la tête.	Na Falansia bakataka mimbanga te, kasi bakataka nde moto.
L'individu est le produit et le producteur de la culture.	Moto nde azali elembo mpe mosali zebi.
L'amitié, mon ange, ignore les banqueroutes du sentiment et les faillites du plaisir. Après avoir donné plus qu'il n'a, l'amour finit par donner moins qu'il ne reçoit.	Boninga, anzelu na ngai, ebosanaka nzela ya satima mpe bokwei ya esengo. Nsima ya kopesa koleka oyo azali na yango, bolingo esukaka nakopesaka moke koleka oyo ezuaka.
Certains événements de mon enfance sont très clairs, d'autres, en revanche, ne sont qu'un vague souvenir.	Nayebi makambo misusu nasala na bomwana na ngai, kasi makambo misusu mazali lokola mabanzo ya polele te.
Un million de migrants sont entrés en Europe en 2015. Il s'agit d'un record depuis la Seconde guerre mondiale.	Bamigran milion moko bakotaka na Eropa na mobu 2015. Likambo ya boye etikala kosalema te uta Etumba ya mibale ya mokili mobimba.
Je regrette qu'un engagement préalable m'empêche d'accepter votre aimable invitation.	Bolimbisi, nakoki kondima invitation na yo mpo nazali na mabongisi mosusu nasalaki.
Ils ont rendu hommage à Johnny Hallyday.	Bapesaki lokumu na Johnny Hallyday.
Quand il vit Jésus passer, il dit...	Ntango amonaki Yesu koleka, alobaki...
